menu,Description,q
Pumpkin-Maple Pie ,เมนูของหวาน เมนู Pumpkin-Maple Pie มีวัตถุดิบ ฟักทอง เมเปิ้ล อบเชย ขิง ลูกจันทน์เทศ,ฉันอยากได้ของหวานที่มีฟักทองเป็นส่วนผสม พร้อมรสชาติที่ผสมผสานระหว่างหวานและเผ็ด
Tropical Fruit Tart ,เมนูของหวาน เมนู Tropical Fruit Tart มีวัตถุดิบ มะนาว วานิลลา สับปะรด มะม่วง แอปริคอต,ฉันอยากได้ของหวานที่มีส่วนผสมของผลไม้เมืองร้อนหลากหลายชนิด แล้วมีรสชาติหวานอมเปรี้ยว
Fudge Frosting ,เมนูของหวาน เมนู Fudge Frosting มีวัตถุดิบ กาแฟ ช็อกโกแลต วานิลลา อบเชย,ฉันกำลังมองหาของหวานที่มีช็อกโกแลตเป็นส่วนผสมหลัก แต่มีรสชาติกาแฟผสมอยู่ด้วยเพื่อตัดเลี่ยน
Three Grape Sorbets ,เมนูของหวาน เมนู Three Grape Sorbets มีวัตถุดิบ องุ่น มะนาว,ฉันอยากได้ของหวานที่มีรสชาติองุ่นหลากหลายสายพันธุ์
Cardamom Applesauce ,เมนูของหวาน เมนู Cardamom Applesauce มีวัตถุดิบ แอปเปิ้ล มะนาว กระวาน,ฉันอยากทานของหวานที่มีแอปเปิ้ลเป็นส่วนผสมหลัก แต่มีรสชาติแปลกใหม่จากเครื่องเทศ
Almond Cookie Cups with Sauternes-Poached Apples and Frozen Sauternes Mousse ,เมนูของหวาน เมนู Almond Cookie Cups with Sauternes-Poached Apples and Frozen Sauternes Mousse มีวัตถุดิบ ส้ม แอปเปิ้ล อัลมอนด์,ฉันอยากได้ของหวานที่มีส่วนผสมของแอปเปิ้ลและอัลมอนด์ แล้วมีรสเปรี้ยวส้มๆ
Whipped Cream Cakes with Peaches and Raspberries ,เมนูของหวาน เมนู Whipped Cream Cakes with Peaches and Raspberries มีวัตถุดิบ วานิลลา พีช ราสเบอร์รี่,ฉันอยากได้ของหวานที่มีรสชาติของผลไม้ เช่น ลูกพีชและราสเบอร์รี่
Almond Paste ,เมนูของหวาน เมนู Almond Paste มีวัตถุดิบ อัลมอนด์,ฉันกำลังมองหาของหวานที่มีอัลมอนด์เป็นส่วนผสมหลัก
Chocolate Espresso Cookies ,เมนูของหวาน เมนู Chocolate Espresso Cookies มีวัตถุดิบ ช็อกโกแลต กาแฟ วอลนัท,มีคุกกี้ช็อกโกแลตที่มีกาแฟด้วยไหม
Passion Fruit Mousses with Raspberry Swirl ,เมนูของหวาน เมนู Passion Fruit Mousses with Raspberry Swirl มีวัตถุดิบ ราสเบอร์รี่,มีของหวานที่มีราสเบอร์รี่ปั่นอยู่ข้างในไหม
Frozen Lemon-Ginger Yogurt ,เมนูของหวาน เมนู Frozen Lemon-Ginger Yogurt มีวัตถุดิบ น้ำผึ้ง เลมอน ขิง วานิลลา,อยากกินของหวานแช่แข็งที่มีกลิ่นผลไม้รสเปรี้ยว
Batey's Cinnamon Bars ,เมนูของหวาน เมนู Batey's Cinnamon Bars มีวัตถุดิบ อบเชย พีแคน,มีของหวานที่มีพีแคนไหม
Almond Tuiles ,เมนูของหวาน เมนู Almond Tuiles มีวัตถุดิบ อัลมอนด์,อยากลองของหวานที่มีอัลมอนต์และมีลักษณะบางกรอบ
Banana Coconut Pudding ,เมนูของหวาน เมนู Banana Coconut Pudding มีวัตถุดิบ กะทิ ขิง กล้วย,อยากทานของหวานที่มีรสชาติเผ็ดหวานและมีส่วนผสมของผลไม้
